Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,332.500000,339.000000,332.500000,339.000000,312.051666,31754120
2020-01-03,344.000000,345.000000,335.500000,339.500000,312.511841,41811268
2020-01-06,333.000000,334.500000,332.000000,332.000000,305.607971,45343057
2020-01-07,332.500000,333.000000,326.500000,329.500000,303.306732,50879181
2020-01-08,325.000000,333.000000,325.000000,329.500000,303.306732,37567748
2020-01-09,335.000000,337.500000,333.500000,337.500000,310.670807,31481504
2020-01-10,340.500000,341.000000,336.000000,339.500000,312.511841,27032115
2020-01-13,342.000000,342.000000,339.000000,341.500000,314.352875,30663332
2020-01-14,345.500000,346.000000,344.500000,346.000000,318.495148,30223993
2020-01-15,345.000000,345.000000,337.500000,340.000000,312.972076,47434274
2020-01-16,330.000000,336.500000,330.000000,334.500000,307.909271,55211420
2020-01-17,334.000000,335.500000,332.000000,333.000000,306.528534,52060097
2020-01-20,334.000000,335.500000,333.000000,333.000000,306.528534,32658203
2020-01-30,326.000000,326.000000,316.500000,316.500000,291.340118,125451049
2020-01-31,323.000000,323.500000,319.000000,320.000000,294.561951,62526055
2020-02-03,315.000000,316.500000,312.000000,315.000000,289.959442,59560849
2020-02-04,336.500000,337.000000,325.000000,325.000000,299.164459,51890496
2020-02-05,329.000000,329.500000,324.500000,327.500000,301.465759,36601453
2020-02-06,329.500000,332.500000,329.000000,332.500000,306.068298,29267094
2020-02-07,330.000000,330.500000,326.000000,328.000000,301.926086,28798327
2020-02-10,321.500000,328.000000,321.000000,327.500000,301.465759,30632424
2020-02-11,330.500000,332.500000,330.000000,331.500000,305.147705,27524935
2020-02-12,333.500000,336.000000,333.000000,335.000000,308.369476,37612639
2020-02-13,338.000000,338.000000,335.000000,335.000000,308.369476,22757021
2020-02-14,337.000000,337.000000,334.500000,335.000000,308.369476,16933683
2020-02-17,331.500000,333.000000,330.500000,331.500000,305.147705,15937079
2020-02-18,324.500000,326.500000,322.000000,322.000000,296.403015,61825604
2020-02-19,322.500000,327.000000,322.000000,326.500000,300.545227,38781218
2020-02-20,328.000000,329.000000,325.000000,325.500000,299.624725,27011736
